AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.08.2020 at 10:40:52 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N5.0 360 M" on Foil "T1_Re1.000_M0.00_N5.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.53          Angle of attack for zero Cn for linear Cn curve (deg)
6.28279        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8472        Cn at stall value for positive angle of attack for linear Cn curve
-0.8636        Cn at stall value for negative angle of attack for linear Cn curve
2.00           Angle of attack for minimum CD (deg)
0.0070         Minimum CD value
   -180.00   -0.1054    0.0060
   -179.00   -0.0176    0.0065
   -178.00    0.0683    0.0081
   -177.00    0.1469    0.0107
   -176.00    0.2094    0.0143
   -175.00    0.2494    0.0190
   -174.00    0.2682    0.0247
   -173.00    0.2740    0.0314
   -172.00    0.2757    0.0391
   -171.00    0.2784    0.0478
   -170.00    0.2842    0.0574
   -169.00    0.2931    0.0681
   -168.00    0.3048    0.0797
   -167.00    0.3183    0.0922
   -166.00    0.3332    0.1056
   -165.00    0.3487    0.1200
   -164.00    0.3646    0.1352
   -163.00    0.3805    0.1513
   -162.00    0.3962    0.1682
   -161.00    0.4114    0.1860
   -160.00    0.4261    0.2046
   -159.00    0.4402    0.2239
   -158.00    0.4534    0.2440
   -157.00    0.4659    0.2648
   -156.00    0.4776    0.2863
   -155.00    0.4883    0.3084
   -154.00    0.4982    0.3313
   -153.00    0.5071    0.3547
   -152.00    0.5151    0.3787
   -151.00    0.5221    0.4033
   -150.00    0.5282    0.4284
   -149.00    0.5334    0.4540
   -148.00    0.5377    0.4800
   -147.00    0.5410    0.5065
   -146.00    0.5434    0.5334
   -145.00    0.5450    0.5606
   -144.00    0.5456    0.5882
   -143.00    0.5454    0.6160
   -142.00    0.5444    0.6442
   -141.00    0.5426    0.6725
   -140.00    0.5400    0.7011
   -139.00    0.5366    0.7298
   -138.00    0.5325    0.7586
   -137.00    0.5277    0.7876
   -136.00    0.5222    0.8165
   -135.00    0.5160    0.8455
   -134.00    0.5092    0.8745
   -133.00    0.5018    0.9035
   -132.00    0.4938    0.9323
   -131.00    0.4852    0.9610
   -130.00    0.4762    0.9896
   -129.00    0.4666    1.0180
   -128.00    0.4566    1.0461
   -127.00    0.4462    1.0740
   -126.00    0.4353    1.1016
   -125.00    0.4241    1.1289
   -124.00    0.4125    1.1558
   -123.00    0.4006    1.1824
   -122.00    0.3883    1.2085
   -121.00    0.3758    1.2342
   -120.00    0.3630    1.2593
   -119.00    0.3500    1.2840
   -118.00    0.3367    1.3081
   -117.00    0.3233    1.3317
   -116.00    0.3097    1.3547
   -115.00    0.2959    1.3770
   -114.00    0.2820    1.3987
   -113.00    0.2680    1.4197
   -112.00    0.2539    1.4400
   -111.00    0.2396    1.4595
   -110.00    0.2247    1.4784
   -109.00    0.2104    1.4964
