AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.08.2020 at 10:56:14 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N5.0 360 M" on Foil "T1_Re1.000_M0.00_N5.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-5.10          Angle of attack for zero Cn for linear Cn curve (deg)
5.93378        Cn slope for zero lift for linear Cn curve (1/rad)
1.2212         Cn at stall value for positive angle of attack for linear Cn curve
-0.6978        Cn at stall value for negative angle of attack for linear Cn curve
-2.50          Angle of attack for minimum CD (deg)
0.0080         Minimum CD value
   -180.00   -0.1476    0.0060
   -179.00   -0.0629    0.0065
   -178.00    0.0211    0.0080
   -177.00    0.1006    0.0106
   -176.00    0.1674    0.0141
   -175.00    0.2125    0.0186
   -174.00    0.2337    0.0241
   -173.00    0.2382    0.0307
   -172.00    0.2361    0.0381
   -171.00    0.2344    0.0466
   -170.00    0.2361    0.0560
   -169.00    0.2415    0.0663
   -168.00    0.2500    0.0775
   -167.00    0.2606    0.0897
   -166.00    0.2727    0.1027
   -165.00    0.2855    0.1166
   -164.00    0.2986    0.1314
   -163.00    0.3117    0.1470
   -162.00    0.3244    0.1634
   -161.00    0.3367    0.1806
   -160.00    0.3483    0.1986
   -159.00    0.3592    0.2173
   -158.00    0.3693    0.2367
   -157.00    0.3785    0.2569
   -156.00    0.3868    0.2777
   -155.00    0.3941    0.2991
   -154.00    0.4005    0.3212
   -153.00    0.4060    0.3439
   -152.00    0.4105    0.3671
   -151.00    0.4141    0.3908
   -150.00    0.4168    0.4151
   -149.00    0.4186    0.4398
   -148.00    0.4194    0.4650
   -147.00    0.4195    0.4906
   -146.00    0.4187    0.5166
   -145.00    0.4171    0.5429
   -144.00    0.4147    0.5695
   -143.00    0.4116    0.5964
   -142.00    0.4077    0.6235
   -141.00    0.4032    0.6509
   -140.00    0.3981    0.6785
   -139.00    0.3924    0.7062
   -138.00    0.3861    0.7340
   -137.00    0.3793    0.7619
   -136.00    0.3720    0.7898
   -135.00    0.3643    0.8178
   -134.00    0.3562    0.8457
   -133.00    0.3477    0.8736
   -132.00    0.3389    0.9014
   -131.00    0.3297    0.9291
   -130.00    0.3203    0.9566
   -129.00    0.3107    0.9839
   -128.00    0.3009    1.0111
   -127.00    0.2910    1.0379
   -126.00    0.2809    1.0645
   -125.00    0.2707    1.0908
   -124.00    0.2604    1.1167
   -123.00    0.2501    1.1422
   -122.00    0.2398    1.1673
   -121.00    0.2295    1.1920
   -120.00    0.2193    1.2163
   -119.00    0.2090    1.2400
   -118.00    0.1989    1.2632
   -117.00    0.1889    1.2859
   -116.00    0.1789    1.3079
   -115.00    0.1691    1.3294
   -114.00    0.1594    1.3503
   -113.00    0.1499    1.3705
   -112.00    0.1405    1.3900
   -111.00    0.1312    1.4088
   -110.00    0.1216    1.4269
   -109.00    0.1127    1.4442
   -108.00    0.1040    1.4608
   -107.00    0.0955    1.4766
   -106.00    0.0871    1.4916
   -105.00    0.0789    1.5058
   -104.00    0.0709    1.5191
   -103.00    0.0631    1.5316
   -102.00    0.0554    1.5433
   -101.00    0.0478    1.5540
   -100.00    0.0404    1.5639
    -99.00    0.0331    1.5728
    -98.00    0.0260    1.5809
    -97.00    0.0189    1.5880
    -96.00    0.0120    1.5942
    -95.00    0.0051    1.5994
    -94.00   -0.0017    1.6037
    -93.00   -0.0084    1.6070
    -92.00   -0.0150    1.6094
    -91.00   -0.0216    1.6109
    -90.00   -0.0282    1.6114
    -89.00   -0.0347    1.6109
    -88.00   -0.0413    1.6094
    -87.00   -0.0479    1.6070
    -86.00   -0.0544    1.6037
    -85.00   -0.0610    1.5994
    -84.00   -0.0677    1.5941
    -83.00   -0.0744    1.5879
    -82.00   -0.0811    1.5808
    -81.00   -0.0879    1.5728
    -80.00   -0.0948    1.5638
    -79.00   -0.1018    1.5540
    -78.00   -0.1089    1.5432
    -77.00   -0.1160    1.5316
    -76.00   -0.1233    1.5191
    -75.00   -0.1306    1.5057
    -74.00   -0.1381    1.4916
    -73.00   -0.1456    1.4766
    -72.00   -0.1532    1.4607
    -71.00   -0.1609    1.4442
    -70.00   -0.1687    1.4268
    -69.00   -0.1766    1.4087
    -68.00   -0.1846    1.3899
    -67.00   -0.1926    1.3704
    -66.00   -0.2007    1.3502
    -65.00   -0.2089    1.3293
    -64.00   -0.2170    1.3078
    -63.00   -0.2252    1.2857
    -62.00   -0.2334    1.2631
    -61.00   -0.2416    1.2398
    -60.00   -0.2498    1.2161
    -59.00   -0.2579    1.1919
    -58.00   -0.2660    1.1672
    -57.00   -0.2739    1.1420
    -56.00   -0.2818    1.1165
    -55.00   -0.2895    1.0905
    -54.00   -0.2971    1.0642
    -53.00   -0.3046    1.0376
    -52.00   -0.3118    1.0108
    -51.00   -0.3188    0.9836
    -50.00   -0.3256    0.9563
    -49.00   -0.3320    0.9287
    -48.00   -0.3382    0.9010
    -47.00   -0.3441    0.8732
    -46.00   -0.3497    0.8453
    -45.00   -0.3548    0.8173
    -44.00   -0.3596    0.7893
    -43.00   -0.3640    0.7613
    -42.00   -0.3679    0.7333
    -41.00   -0.3714    0.7054
    -40.00   -0.3744    0.6777
    -39.00   -0.3769    0.6500
    -38.00   -0.3789    0.6226
    -37.00   -0.3803    0.5953
    -36.00   -0.3813    0.5683
    -35.00   -0.3817    0.5415
    -34.00   -0.3816    0.5150
    -33.00   -0.3810    0.4889
    -32.50   -0.6524    0.4012
    -32.00   -0.6553    0.3963
    -31.50   -0.6544    0.3904
    -31.00   -0.6514    0.3839
    -30.50   -0.6471    0.3771
    -30.00   -0.6417    0.3699
    -29.50   -0.6354    0.3623
    -29.00   -0.6272    0.3539
    -28.50   -0.6196    0.3457
    -28.00   -0.6117    0.3377
    -27.50   -0.6031    0.3297
    -27.00   -0.5941    0.3217
    -26.50   -0.5846    0.3139
    -26.00   -0.5748    0.3060
    -25.50   -0.5648    0.2981
    -25.00   -0.5546    0.2903
    -24.50   -0.5443    0.2825
    -24.00   -0.5339    0.2748
    -23.50   -0.5258    0.2663
    -23.00   -0.5158    0.2590
    -22.50   -0.5055    0.2517
    -22.00   -0.4951    0.2445
    -21.50   -0.4845    0.2374
    -21.00   -0.4737    0.2303
    -20.50   -0.4631    0.2231
    -20.00   -0.4528    0.2159
    -19.50   -0.4434    0.2084
    -19.00   -0.4354    0.2006
    -18.50   -0.4303    0.1920
    -18.00   -0.6768    0.1219
    -17.50   -0.7483    0.1015
    -17.00   -0.7911    0.0873
    -16.50   -0.8238    0.0754
    -16.00   -0.8339    0.0643
    -15.50   -0.8387    0.0550
    -15.00   -0.8394    0.0471
    -14.50   -0.8310    0.0404
    -14.00   -0.8063    0.0348
    -13.50   -0.7911    0.0298
    -13.00   -0.7677    0.0255
    -12.50   -0.7834    0.0222
    -12.00   -0.7093    0.0191
    -11.50   -0.5658    0.0167
    -11.00   -0.5384    0.0159
    -10.50   -0.5047    0.0152
    -10.00   -0.4682    0.0143
     -9.50   -0.4299    0.0136
     -9.00   -0.3857    0.0129
     -8.50   -0.3413    0.0124
     -8.00   -0.2931    0.0118
     -7.50   -0.2455    0.0114
     -7.00   -0.1957    0.0110
     -6.50   -0.1445    0.0107
     -6.00   -0.0946    0.0103
     -5.50   -0.0422    0.0099
     -5.00    0.0106    0.0095
     -4.50    0.0630    0.0091
     -4.00    0.1146    0.0088
     -3.50    0.1673    0.0082
     -3.00    0.2224    0.0080
     -2.50    0.2777    0.0080
     -2.00    0.3321    0.0080
     -1.50    0.3864    0.0081
     -1.00    0.4412    0.0081
     -0.50    0.4973    0.0082
      0.00    0.5532    0.0082
      0.50    0.6086    0.0083
      1.00    0.6633    0.0084
      1.50    0.7171    0.0085
      2.00    0.7692    0.0087
      2.50    0.8202    0.0089
      3.00    0.8719    0.0090
      3.50    0.9249    0.0091
      4.00    0.9775    0.0092
      4.50    1.0298    0.0093
      5.00    1.0816    0.0095
      5.50    1.1325    0.0096
      6.00    1.1815    0.0099
      6.50    1.2279    0.0102
      7.00    1.2709    0.0105
      7.50    1.3204    0.0108
      8.00    1.3666    0.0110
      8.50    1.4067    0.0115
      9.00    1.4448    0.0120
      9.50    1.4841    0.0123
     10.00    1.5117    0.0131
     10.50    1.5280    0.0146
     11.00    1.5315    0.0168
     11.50    1.5364    0.0192
     12.00    1.5404    0.0219
     12.50    1.5473    0.0249
     13.00    1.5376    0.0294
     13.50    1.5326    0.0341
     14.00    1.5208    0.0398
     14.50    1.5128    0.0457
     15.00    1.5030    0.0521
     15.50    1.4969    0.0585
     16.00    1.4842    0.0659
     16.50    1.4727    0.0728
     17.00    1.4573    0.0810
     17.50    1.4554    0.0875
     18.00    1.4352    0.0969
     18.50    1.4406    0.1026
     19.00    1.4471    0.1080
     19.50    1.4313    0.1170
     20.00    1.4325    0.1231
     20.50    1.4384    0.1283
     21.50    1.4313    0.1412
     22.00    1.4371    0.1461
     22.50    1.4369    0.1524
     23.00    1.4223    0.1617
     23.50    1.4250    0.1680
     24.00    1.4138    0.1775
     24.50    1.4111    0.1855
     25.00    1.4121    0.1929
     25.50    1.3942    0.2052
     26.00    1.3922    0.2138
     26.50    1.3704    0.2282
     27.00    1.3643    0.2387
     27.50    1.3377    0.2560
     28.00    1.3285    0.2683
     28.50    1.2947    0.2895
     29.00    1.2822    0.3034
     29.50    1.2321    0.3296
     30.00    1.2486    0.4021
     31.00    1.2566    0.4301
     32.00    1.2656    0.4585
     33.00    1.2755    0.4872
     34.00    1.2860    0.5163
     35.00    1.2967    0.5457
     36.00    1.3075    0.5753
     37.00    1.3182    0.6052
     38.00    1.3287    0.6353
     39.00    1.3387    0.6657
     40.00    1.3482    0.6962
     41.00    1.3571    0.7268
     42.00    1.3651    0.7575
     43.00    1.3724    0.7884
     44.00    1.3787    0.8192
     45.00    1.3840    0.8501
     46.00    1.3882    0.8810
     47.00    1.3913    0.9118
     48.00    1.3931    0.9425
     49.00    1.3938    0.9731
     50.00    1.3931    1.0035
     51.00    1.3911    1.0338
     52.00    1.3878    1.0638
     53.00    1.3830    1.0935
     54.00    1.3769    1.1230
     55.00    1.3693    1.1521
     56.00    1.3602    1.1808
     57.00    1.3497    1.2092
     58.00    1.3377    1.2371
     59.00    1.3242    1.2645
     60.00    1.3092    1.2915
     61.00    1.2926    1.3179
     62.00    1.2746    1.3437
     63.00    1.2551    1.3690
     64.00    1.2341    1.3936
     65.00    1.2117    1.4176
     66.00    1.1878    1.4408
     67.00    1.1624    1.4634
     68.00    1.1356    1.4852
     69.00    1.1074    1.5062
     70.00    1.0778    1.5265
     71.00    1.0468    1.5459
     72.00    1.0146    1.5645
     73.00    0.9810    1.5822
     74.00    0.9462    1.5991
     75.00    0.9101    1.6150
     76.00    0.8729    1.6300
     77.00    0.8346    1.6440
