AeroDyn airfoil file Created with QBlade v0.963 64bit on 01.08.2020 at 10:30:53 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N5.0 360 M" on Foil "T1_Re1.000_M0.00_N5.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
49.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.49          Angle of attack for zero Cn for linear Cn curve (deg)
5.66698        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6720        Cn at stall value for positive angle of attack for linear Cn curve
-0.8326        Cn at stall value for negative angle of attack for linear Cn curve
4.00           Angle of attack for minimum CD (deg)
0.0084         Minimum CD value
   -180.00   -0.1321    0.0060
   -179.00   -0.0522    0.0065
   -178.00    0.0271    0.0081
   -177.00    0.1026    0.0106
   -176.00    0.1675    0.0142
   -175.00    0.2138    0.0189
   -174.00    0.2391    0.0245
   -173.00    0.2484    0.0311
   -172.00    0.2505    0.0387
   -171.00    0.2522    0.0473
   -170.00    0.2563    0.0569
   -169.00    0.2637    0.0674
   -168.00    0.2738    0.0788
   -167.00    0.2860    0.0912
   -166.00    0.2996    0.1045
   -165.00    0.3140    0.1187
   -164.00    0.3287    0.1337
   -163.00    0.3434    0.1496
   -162.00    0.3579    0.1663
   -161.00    0.3719    0.1838
   -160.00    0.3853    0.2021
   -159.00    0.3980    0.2212
   -158.00    0.4099    0.2410
   -157.00    0.4210    0.2615
   -156.00    0.4312    0.2827
   -155.00    0.4405    0.3045
   -154.00    0.4489    0.3270
   -153.00    0.4563    0.3501
   -152.00    0.4628    0.3737
   -151.00    0.4684    0.3979
   -150.00    0.4730    0.4226
   -149.00    0.4767    0.4478
   -148.00    0.4795    0.4734
   -147.00    0.4814    0.4995
   -146.00    0.4824    0.5259
   -145.00    0.4826    0.5527
   -144.00    0.4820    0.5798
   -143.00    0.4805    0.6072
   -142.00    0.4783    0.6349
   -141.00    0.4753    0.6627
   -140.00    0.4716    0.6908
   -139.00    0.4672    0.7190
   -138.00    0.4622    0.7473
   -137.00    0.4566    0.7757
   -136.00    0.4503    0.8041
   -135.00    0.4435    0.8326
   -134.00    0.4361    0.8610
   -133.00    0.4283    0.8894
   -132.00    0.4200    0.9177
   -131.00    0.4113    0.9459
   -130.00    0.4021    0.9739
   -129.00    0.3926    1.0017
   -128.00    0.3828    1.0294
   -127.00    0.3726    1.0567
   -126.00    0.3622    1.0838
   -125.00    0.3515    1.1105
   -124.00    0.3406    1.1369
   -123.00    0.3295    1.1629
   -122.00    0.3182    1.1885
   -121.00    0.3068    1.2136
   -120.00    0.2952    1.2383
   -119.00    0.2836    1.2624
   -118.00    0.2718    1.2860
   -117.00    0.2600    1.3091
   -116.00    0.2482    1.3316
   -115.00    0.2363    1.3534
   -114.00    0.2244    1.3747
   -113.00    0.2125    1.3952
   -112.00    0.2007    1.4151
   -111.00    0.1888    1.4342
   -110.00    0.1764    1.4526
   -109.00    0.1647    1.4703
   -108.00    0.1530    1.4872
   -107.00    0.1414    1.5033
   -106.00    0.1298    1.5185
